OBJECTID *,Shape *,ARCID,UP_CELLS,Shape_Length,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
780,Polyline,652820,4061,10873.10087,10873.10087,45679.8035,3372838.74,49910.98704,3375560.402,53353.8723,3373910.091
781,Polyline,652821,4193,1687.949494,1687.949494,53353.8723,3373910.091,53572.41628,3373149.622,54098.5396,3372489.708
782,Polyline,652822,4514,1203.645902,1203.645902,54098.5396,3372489.708,54699.857,3372465.045,55301.1744,3372440.382
783,Polyline,652823,5087,4054.814022,4054.814022,55301.1744,3372440.382,56778.69524,3372683.344,58545.7636,3373234.419
784,Polyline,652824,139,2381.987637,2381.987637,62106.5844,3371932.182,62474.78317,3372987.817,62190.5278,3374013.189
785,Polyline,652825,259,3793.913964,3793.913964,182927.4049,3367964.921,181359.7616,3368687.48,180012.9133,3369858.234
786,Polyline,652891,286,5236.788248,5236.788248,-173661.8693,3383547.635,-174526.7752,3385848.793,-175596.6462,3388087.828
787,Polyline,652892,2446,3399.484331,3399.484331,-158386.9761,3386096.836,-158079.4437,3384525.621,-158182.5086,3382829.006
788,Polyline,652893,191,5875.116638,5875.116638,-137097.9918,3381569.151,-134534.1428,3382348.417,-131970.482,3383128.192
789,Polyline,652894,378,14725.24131,14725.24131,-25935.0495,3375377.07,-22635.61747,3381467.882,-18372.1441,3386376.168
790,Polyline,652895,109,1621.357426,1621.357426,-15618.0141,3376737.091,-15656.5003,3375927.326,-15694.9865,3375117.562
791,Polyline,652896,2085,7498.120161,7498.120161,36978.0604,3375986.629,40066.8452,3374536.823,42853.9692,3372494.034
792,Polyline,652897,2278,1816.469369,1816.469369,42853.9692,3372494.034,43761.40211,3372455.88,44477.0847,3372889.138
793,Polyline,652898,156,1825.419528,1825.419528,137643.0181,3368918.126,138455.6828,3369126.461,139076.1013,3369795.879
794,Polyline,652899,210,5602.994628,5602.994628,150820.6973,3373344.625,151514.3095,3370808.547,152667.8064,3368427.452
795,Polyline,652900,188,11137.48857,11137.48857,153786.4097,3378338.736,154652.7247,3373252.746,152667.8064,3368427.452
796,Polyline,652968,7105,2931.246632,2931.246632,-66927.8884,3379994.514,-66595.34406,3378659.594,-66671.8084,3377195.967
797,Polyline,652969,125,1618.089726,1618.089726,-65243.1137,3377585.62,-65988.11239,3377468.375,-66671.8084,3377195.967
798,Polyline,652970,119,1828.510458,1828.510458,-17098.8943,3375184.363,-16304.34786,3374910.597,-15694.9865,3375117.562
799,Polyline,652971,7603,9563.517553,9563.517553,64231.6064,3374857.398,67811.41716,3372804.852,71699.6824,3370854.875
800,Polyline,652972,237,5681.958534,5681.958534,69687.4773,3375797.468,71404.99437,3373559.95,71699.6824,3370854.875
801,Polyline,652973,344,7829.846435,7829.846435,103809.8028,3376348.886,102283.66,3373010.839,102963.8064,3369667.237
802,Polyline,652974,489,12507.80414,12507.80414,110126.0652,3379128.69,106460.3246,3374305.221,102963.8064,3369667.237
803,Polyline,653051,7846,1013.650248,1013.650248,71699.6824,3370854.875,72016.33352,3370459.143,72483.2112,3370360.88
804,Polyline,653114,318,11806.15162,11806.15162,12708.1561,3372182.829,14535.93517,3377415.601,13555.6824,3382111.066
805,Polyline,653115,103,918.889742,918.889742,52647.8253,3371391.231,52934.2546,3371031.999,53220.6839,3370672.766
806,Polyline,653116,309,2450.295654,2450.295654,53220.6839,3370672.766,54060.54079,3371564.746,54098.5396,3372489.708
807,Polyline,653179,503,6404.776584,6404.776584,-113024.269,3383433.47,-111995.9793,3380610.995,-110501.7045,3378180.495
808,Polyline,653180,342,12237.02517,12237.02517,24519.2871,3371195.931,28331.13009,3374782.972,33290.9735,3374291.079
809,Polyline,653255,300,10560.18903,10560.18903,-166960.9964,3381040.013,-162423.3681,3382622.308,-158182.5086,3382829.006
810,Polyline,653256,118,2551.654043,2551.654043,-131999.2395,3379179.12,-131002.3063,3379818.263,-130205.4061,3378842.381
811,Polyline,653257,1214,4926.287625,4926.287625,-131970.482,3383128.192,-130883.0363,3381048.402,-130205.4061,3378842.381
812,Polyline,653258,115,2635.493083,2635.493083,-112710.1326,3378304.981,-111632.0147,3377779.559,-110501.7045,3378180.495
813,Polyline,653259,145,5605.532555,5605.532555,107480.9698,3372512.013,106615.3437,3370028.159,107706.3616,3367643.337
814,Polyline,653260,357,14865.8414,14865.8414,117876.6558,3377232.391,112313.0223,3373017.369,107706.3616,3367643.337
815,Polyline,653319,8707,2300.1987,2300.1987,72483.2112,3370360.88,73201.88158,3369462.971,73613.2818,3368463.99
816,Polyline,653320,9279,13838.15375,13838.15375,80439.6612,3378849.226,84151.54204,3373246.917,82433.7983,3368121.629
817,Polyline,653321,847,11551.35152,11551.35152,97610.0395,3376808.78,96616.59784,3371664.526,99672.3918,3367473.246
818,Polyline,653381,744,7578.930086,7578.930086,-180077.8232,3380924.098,-181133.0252,3384314.2,-183745.5816,3386738.491
819,Polyline,653382,753,18941.88468,18941.88468,19043.4131,3370046.468,19830.23815,3378742.425,13555.6824,3382111.066
820,Polyline,653383,102,1214.414145,1214.414145,72592.7387,3368040.94,73197.80917,3368021.178,73613.2818,3368463.99
821,Polyline,653434,526,4287.17166,4287.17166,-205509.6392,3383945.241,-207648.6737,3384084.854,-209606.4272,3384561.461
822,Polyline,653435,542,13735.89534,13735.89534,-195796.6933,3381222.906,-199333.9607,3386630.3,-198279.5375,3392786.604
823,Polyline,653495,168,5521.065899,5521.065899,40463.0568,3368193.187,41859.29537,3370335.029,42853.9692,3372494.034
824,Polyline,653496,8902,1837.531464,1837.531464,73613.2818,3368463.99,74187.57435,3367746.83,74761.8669,3367029.67
825,Polyline,653497,890,10993.28052,10993.28052,89859.7511,3373395.166,91869.65032,3369923.673,95612.0219,3366234.564
826,Polyline,653498,20239,4645.473522,4645.473522,95612.0219,3366234.564,97832.86889,3366391.658,99672.3918,3367473.246
827,Polyline,653499,259,7455.322555,7455.322555,117497.1072,3372154.398,116179.4107,3368919.961,115256.6769,3365522.093
828,Polyline,653500,112,2108.382279,2108.382279,116500.0783,3366635.324,116230.0996,3365678.159,115256.6769,3365522.093
829,Polyline,653501,486,4760.257272,4760.257272,152667.8064,3368427.452,152195.8397,3366210.867,152534.9196,3364267.839
830,Polyline,653502,279,12361.98165,12361.98165,156085.3506,3375026.984,155107.2496,3369472.089,152534.9196,3364267.839
831,Polyline,653569,503,13716.79782,13716.79782,-92397.9849,3374158.351,-87570.09888,3378307.757,-82902.6299,3382234.944
832,Polyline,653570,336,10435.29506,10435.29506,-33625.5345,3374360.765,-29421.63823,3372995.32,-25144.6725,3370932.312
833,Polyline,653571,114,2309.497487,2309.497487,-18423.7627,3372696.738,-17866.20878,3371739.186,-17921.1733,3370585.746
834,Polyline,653572,366,5831.42001,5831.42001,-15694.9865,3375117.562,-14508.43716,3372629.111,-12704.4734,3370338.46
835,Polyline,653573,1332,5840.812697,5840.812697,45065.9526,3367768.008,46268.23822,3370152.644,45679.8035,3372838.74
836,Polyline,653628,240,6305.279239,6305.279239,-143792.8298,3380802.436,-142491.1581,3378359.621,-141214.0459,3376698.156
837,Polyline,653629,604,8077.731062,8077.731062,-25144.6725,3370932.312,-21532.92946,3370758.427,-17921.1733,3370585.746
838,Polyline,653630,265,8714.077276,8714.077276,30595.8251,3367687.806,30643.56797,3371490.484,33290.9735,3374291.079
839,Polyline,653631,9453,9776.649551,9776.649551,74761.8669,3367029.67,78995.32742,3366401.909,82433.7983,3368121.629
840,Polyline,653632,19276,2027.284893,2027.284893,93973.7607,3365369.613,94792.91688,3365802.069,95612.0219,3366234.564
841,Polyline,653691,140,1348.075635,1348.075635,-211797.399,3380398.627,-212204.7411,3380935.655,-212779.5453,3381161.52
842,Polyline,653692,306,9321.591503,9321.591503,-149187.3392,3381589.024,-153196.681,3380202.378,-155305.0893,3377074.377
843,Polyline,653693,846,6068.388352,6068.388352,-17921.1733,3370585.746,-15280.30384,3369684.684,-12704.4734,3370338.46
844,Polyline,653694,19112,13959.29385,13959.29385,82433.7983,3368121.629,88300.15176,3366508.841,93973.7607,3365369.613
845,Polyline,653695,616,10125.16874,10125.16874,139076.1013,3369795.879,141764.8618,3366192.117,145275.227,3363113.997
846,Polyline,653696,154,4780.856527,4780.856527,145403.296,3367042.677,145530.4905,3364722.539,145275.227,3363113.997
847,Polyline,653697,633,5330.637492,5330.637492,185666.125,3366693.629,185024.9944,3364258.675,184154.99,3361916.797
848,Polyline,653765,2910,7085.812151,7085.812151,-158182.5086,3382829.006,-156959.0965,3379731.997,-155734.9142,3376635.3
849,Polyline,653766,634,614.44097,614.44097,-155305.0893,3377074.377,-155520.0018,3376854.838,-155734.9142,3376635.3
850,Polyline,653767,146,3753.750657,3753.750657,-28233.2772,3369458.45,-26688.90091,3370195.244,-25144.6725,3370932.312
851,Polyline,653768,958,7048.482337,7048.482337,102963.8064,3369667.237,103758.3272,3366747.457,105969.0748,3364002.849
852,Polyline,653769,543,4599.171241,4599.171241,107706.3616,3367643.337,107238.6991,3365808.539,105969.0748,3364002.849
853,Polyline,653826,220,5817.991997,5817.991997,-176074.7367,3377184.629,-178155.314,3378906.602,-180077.8232,3380924.098
854,Polyline,653827,887,2245.967548,2245.967548,-157342.4015,3376732.47,-156446.1942,3377063.135,-155762.8856,3376171.967
855,Polyline,653828,3546,464.176948,464.176948,-155734.9142,3376635.3,-155748.8999,3376403.633,-155762.8856,3376171.967
856,Polyline,653829,137,1769.085333,1769.085333,94314.4305,3363736.463,94347.36958,3364620.392,93973.7607,3365369.613
857,Polyline,653830,926,2427.585998,2427.585998,145275.227,3363113.997,146262.3812,3362619.203,147249.5996,3362124.496
858,Polyline,653831,929,14619.82933,14619.82933,145236.7272,3374219.865,148606.1338,3368624.249,147249.5996,3362124.496
859,Polyline,653832,9259,13134.43028,13134.43028,169564.3634,3370213.347,165195.7651,3366368.295,161681.2335,3361666.654
860,Polyline,653833,254,8303.386988,8303.386988,190794.0067,3362651.18,187434.8167,3360897.222,184154.99,3361916.797
861,Polyline,653888,510,14548.75321,14548.75321,-170834.81,3377092.332,-164180.2817,3377148.529,-157342.4015,3376732.47
862,Polyline,653889,195,5575.555322,5575.555322,-139528.7925,3374506.906,-139092.508,3376931.942,-141214.0459,3376698.156
863,Polyline,653890,818,6405.442189,6405.442189,-110501.7045,3378180.495,-109861.4276,3375237.371,-107976.1551,3372928.531
864,Polyline,653891,200,2226.788235,2226.788235,163485.1064,3361610.773,162536.6445,3361253.297,161681.2335,3361666.654
865,Polyline,653959,1484,6305.256591,6305.256591,-130205.4061,3378842.381,-128901.3104,3376153.779,-127286.6948,3373561.075
866,Polyline,653960,1085,16249.90641,16249.90641,-127446.9944,3384724.274,-124064.7009,3378343.04,-119250.9778,3373100.343
